ov,Last updated (DD/MM/YY),Expiry Date?,Name,Service Type,Additional/other (separate each type with a semi-colon),"Details (who, what, when, where, why)",Region,City/ Town,Address,Post Code,Phone,URL,Email,Hours,Volunteer need?
,01/06/2017,,Lyme Trust,Healthcare/ Mental Health / Disability,,"The Trust provides supported accommodation for people living with mental health problems. We also support people with substance misuse and addiction difficulties alongside any mental health issues. Our aim is provide a safe, stable and comfortable environment in which people can live. Residents have access to high levels of support and a good quality of life.",West Midlands,Newcastle-Under-Lyme,"37 London Road, Newcastle under Lyme, Staffordshire",ST5 1LN,01782 634510,http://www.thelymetrust.co.uk/,thelymetrust@tiscali.co.uk,Monday-Friday: 08.00-17.00,Yes
Amelia Cooper to contact mrsn about this (12/09),,,Manchester Bosnian Community Association (Lilies),,,N/A,,Stockport,N/A,,N/A,N/A,N/A,,
Brigid Yates to call about this (AC 12/09) ,,,Manchester Sudanese Cultural Society,"Social (clubs, groups)",Education,"Cultural discussion group & Academic Seminars held on Wednesdays, every fortnight at the Claremont Resource Centre.",North West,Manchester,"9 Lingmoor Walk
Hulme
Manchester",M15 6EN,07944 165399,http://sudanese-culturalsocity.blogspot.co.uk/2007/11/constituation.html,?,,
,,,Manchester Sudanese Tree Development Community,Advice & Support,Education; Children & Young People,"Their activities bring members of different BME communities together, particularly African refugees and asylum seekers, to increase understanding, improve engagement with public services and work with the police on crime reduction initiatives.

They run Supplementary School projects for young people to help them improve their education attainment.

They organise various environmental projects which enable people to grow their own produce obtain healthy eating habits, including 'healthy living' project.",North West,Manchester,"18, Cariocca Business Park, 2 Hellidon Cl, Manchester M12 4AH",M12 4AH,0161 273 3029,http://www.mstdc.org.uk/,info@mstdc.org.uk,,
,,,Mary Thompson Fund (Mtf),Advice & Support,Housing; Food; Non-food items; Destitution & Debt; Housing,"The Mary Thompson Fund is a hardship fund responding to the critical and emergency needs of those who are seeking sanctuary or are settled refugees in the Tees Valley, for things such as:
medical expenses
emergency food packs
furniture for unfurnished accommodation
maternity wear and baby needs
expenses incurred when meeting solicitors
phone cards
travel costs to visit detained relatives
help towards college expenses
travel arrangements for school children
three nights’ emergency accommodation",North East,Stockton-On-Tees,"Mrs Veronica Wallace, 3 Oakfield Avenue, Eaglescliffe, Stockton-On-Tees, TS16 0HW
",TS16 0HW,1642949426,http://www.refugee.org.uk/node/205,wallace.v@sky.com,,
Nic Heath (Michelle Lam),25/07/2017,,Maternity Action,Women,Family; Advice & Support,"Maternity Action offers free advice for mums and dads worried about their rights at work and rights to benefits and healthcare. They also produce a range of accurate and user-friendly publications and information sheets about these rights, as well as offering clients confidential telephone support through Advice Line. ",London,London,"52-54 Featherstone St, London",EC1Y 8RT,020 7251 6189,https://www.maternityaction.org.uk/,info@maternityaction.org.uk,"Monday: 14.00-16.00, Tuesday: Closed, Wednesday: Closed, Thursday: 14.00-16.00, Friday: Closed, Saturday: Closed, Sunday: Closed",
Misha MccGwire,25/07/2017,,Mazi Mas,Women,Employment/ Training/ Volunteering,"‘Mazí mas’ means ‘with us’ in Greek, and provides employment and training for long-term unemployed women from migrant communities. Their food is quintessentially London: vibrant, full of flavour, and steeped in rich cultural traditions.",London,East London,"The Russet, 17 Amhurst Terrace, Dalston, London",E8 2BT,07783 614722,http://www.mazimas.co.uk/,"info@mazimas.co.uk
",,
,To call HDS,,Mental Health Services,Healthcare/ Mental Health / Disability,,"Early intervention for groups at risk: asylum seekers and refugees, homeless, LGBT",South West,Bristol,"Assertive Contact and Engagement (ACE)
Compass Centre,
Jamaica Street",BS2 8JP,44117 239 8969 ,,awp.bmhace@nhs.net ,Monday-Friday: 08.00-20.00,
,,,MercyCorps,,,,,Edinburgh,,,,,,,
,Birmingham Team Doing This,,Merseyside Refugee Support Network,,,Information and support service for local refugee communities as well as for those organisations working with and for refugees and asylum seekers,,Liverpool,"Merseyside Refugee Support Network 1st Floor, St Anne's Centre, 7 Overbury Street, Liverpool,  L7 3HJ",,01517097557,http://www.bristolrefugeerights.org/,lasar_mrsn@yahoo.com,,
Abi Evans (Michelle Lam),26/07/17,,Micro-Rainbow,LGBTQI,,"Micro-Rainbow works with LGBT refugees in the UK, tackling poverty and supporting them through destitution and into employment. What this organisation does in the UK: Facilitating start-up capital, offering support in drafting business plans, delivering free coaching sessions, facilitating training, and peer-to-peer support, and creating opportunities to end their isolation, like through our LGBTI Interfaith Choir",,London,"7-14 Great Dover Street
London",SE1 4YR,7429125074,https://www.micro-rainbow.org/,mgoba@micro-rainbow.org,,
,Birmingham Team Doing This,,Midlands Ethnic Albanian Foundation,Advice & Support,,"MEAF is an established organisation helping, supporting and assisting integration of ethnic Albanians in the Midlands, the UK.",West Midlands,Birmingham,Name: Edison Lami,,07747649787,http://www.meaf.org.uk/,contact@meaf.org.uk,,
,July 2016,N/A,Migrant English Project,Education,,"The Migrant English Project provides free English lessopns for refugees, asylum seekers, and migrants. They run a drop-in every Monday, 10.30am–4.30pm at. The morning session (10.30–1.30) prioritises refugees and asylum seekers. The afternoon session (1.30–3.30) also welcome smigrants who are not necessarily refugees or asylum seekers.",South East,Brighton,"The Cowley Club, 12 London Road",BN1 4EJ,Mondays only: 1273 696104,http://www.mepbrighton.com,mepbrighton12@googlemail.com,Monday: 10.30-16.30,n/a
,,,Migrant Legal Project,Legal,,Provides not for profit publically funded legal advice and representation for asylum seekers and refugees,South West,Bristol,"Old Co-op
58-42 Chelsea Road
Bristol",BS1 4JQ,44117 911 3393,http://migrantlegalproject.com/,info@migrantlegalproject.com,,
,,,Migrant Resource Centre,,,Have 3 offices across London focused on providing support to migrant communities. Partnered with Asylum Aid,,London,Chatelle Jarem,,02078 342505 ext 208,http://www.migrantsresourcecentre.org.uk/,chatelle@migrants.org.uk,,
Misha MccGwire (Michelle Lam),27/07/17,,Migrant Voice,Employment/ Training/ Volunteering,Education,"Migrant Voice is a migrant-led organisation established to develop the skills, capacity and confidence of members of migrant communities, including asylum seekers and refugees. They work to amplify migrant voices and secure representation in the media and public life. This is done through stories from migrants themselves in order to inform others about what they have achieved and why they are here. ",London,West London,"VAI, 200a Pentonville Road
London ",N1 9JP,"
07467 299 335",http://www.migrantvoice.org/, info@migrantvoice.org,,
Misha MccGwire,24/07/2017,,Migrants Organise,Advice & Support,"Employment/ Training/ Volunteering; Befriending; Education; Social (clubs, groups)","Migrants Organise is a platform where refugees and migrants organise for power, dignity and justice. They develop leadership and open up spaces for relational, organised participation of migrants and refugees in public life.",London,West London,"2 Thorpe Close, Ladbroke Grove, London",W10 5XL,020 8964 4815,http://www.migrantsorganise.org/,info@migrantsorganise.org,Monday-Friday: 09.00-17.00,
,,,Migrants' Rights Network,Advice & Support,Advocacy,"The network works and campaigns in support of migrants in the UK. They promote policy analysis, partnership, and debate for the rights of all migrants. Sign up on their website to receive their regular newsletter and get all the latest updates on migration issues.",National,London,33 Corsham Street,N1 6DR,020 73369412,http://www.migrantsrights.org.uk,info@migrantsrights.org.uk,N/A,N/A
,,,Milton Keynes Red Cross,Advice & Support,,Refugee support. To request support see: https://www.redcross.org.uk/Forms/Service-forms/Refugee-support-request?id=8a8549dc-54dc-4b5a-a0f4-0fe5cbfcdaf6,South East,Milton Keynes," Unit 3 Joplin Court, Sovereign Busi. Park
Crownhill, Milton Keynes
MK8 0JP",MK8 0JP,07743815232,http://www.redcross.org.uk/Where-we-work/In-the-UK/Southern-England/Berkshire-Buckinghamshire-and-Oxfordshire/LocalServices/Refugee-support?dpid=35aa3677-8ed1-4f98-bf56-538ff68ad3f2,LAradi@redcross.org.uk,,
Michelle Lam,31/07/17,,Miriam Dean Refugee Trust Fund,Advice & Support,,"We are a small registered charity funding projects for the poorest of the poor. Our work is mostly, at present, in South India, in close partnership with established local groups and charitable organisations. Children are one major focus: orphan children, handicapped children, children at risk, children affected by AIDS. ",,,"Hidden House, 3 Ladwell Close , NEWBURY, RG14 6PJ",RG14 6PJ,01635 34979,http://www.miriamdeanfund.org.uk/,trustees@miriamdeanfund.org.uk,,
,July 2016,N/A,Money Advice Plus,Advice & Support,Destitution & Debt,"Money Advice Plus helps people who are experiencing difficulty managing their money or financial affairs. They can give debt and benefit advice and help apply for documents such as naturalisation and travel. As part of their money handling services, they are able to distribute money to people who are not on benefits but whom the council have a duty to support. Drop-ins every other Friday, 11am–2pm",South East,Brighton,24 Old Steine,BN1 1EL,01273 664000,http://www.moneyadviceplus.org.uk,info@moneyadviceplus.org.uk,,n/a
,July 2016,N/A,Moneyworks Advice Line,Advice & Support,Destitution & Debt,"Provides free, independent advice to residents of Brighton & Hove on a whole range of money issues, including dealing with debt, maximising income, and paying for fuel.",South East,Brighton,N/A,N/A,0800 988 7037,http://www.advicebrighton-hove.org.uk/services/moneyworks,N/A,"Monday: 10.00-16.00, Tuesday: 10.00-16.00, Wednesday: 17.00-20.00, Thursday: 10.00-16.00, Friday: 10.00-14.00",No
,,,Mount Kailash School Charitable Trust,Education,Advice & Support; Children & Young People,"Aim: the relief of poverty through the support of Tibetan and Nepali refugee children attending the Mount Kailash Refugee school based in Kathmandu, Nepal ",South West,Truro,"A WARTHA MENHYR, WARTHA MANOR, PENMENNER ROAD, THE LIZARD, HELSTON, TR12 7NR",TR12 7NR,"
    01872 227355",N/A http://opencharities.org/charities/1015291,e@eaton.co.uk OR hugh@murrellassociates.co.uk,,
Michelle Lam,31/07/17,,NELMA - North East London Migrant Action,Advocacy,,North East London Migrant Action (NELMA) brings together activists from across London to campaign on issues faced by migrants in vulnerable positions in our communities. The group’s current focus is on challenging injustices towards families with no recourse to public funds,,,,,,https://www.facebook.com/nelmacampaigns/,nelondonmigrantaction@gmail.com ,,
Michelle Lam,31/07/17,,Neston Community and Youth Centre,Children & Young People,"Social (clubs, groups); LGBTQI","Tuesday: Music Zone (1900-2100)
Wednesday: Interact Youth Theatre (1700-1900); Youth club (1900-2100)
Thursday: Street dance; boxing
Friday: LGBT+ Youth Club (1830-2030 every third Monday of each calendar month)",,,"Burton Road, Neston, Cheshire, CH64 9RE",CH64 9RE,0151 336 7805,http://www.nestoncyc.co.uk/,info@nestoncyc.co.uk ,,
Feryal Awan (Michelle Lam),24/07/17,,New Horizon Youth Centre,Children & Young People,Housing; Destitution & Debt; Advocacy; Advice & Support,"New Horizon helps 16-21 year olds into accommodation by (1) making referrals into hostels, shelters and other accommodation; (2) helping with benefit problems or making claims; (3) advising appeals for those who have been sanctioned;  (4) helping in communicating with Probation, Police, Social Workers or hostel workers; (5) finding support for those with debt problems; (6) finding support, such as mediation, for those who may be homeless due to a relationship breakdown; (7) getting legal advice or a solicitor. Those in need should arrive outside the centre at 10.15am to get an appointment.",London ,,"68 Chalton St, Kings Cross, London ",NW1 1JR,207 388 5560,http://nhyouthcentre.org.uk/,info@nhyouthcentre.org.uk,Monday-Sunday: 10.30-16.00,
,,,New Shamwari Project,Advice & Support,"Employment/ Training/ Volunteering; Education; Social (clubs, groups)",We work towards integration of people with refugee status and people seeking asylum into the host community.,North East,Rochdale,"New Shamwari Project
Castlemere Community Centre
Tweedale Street
Rochdale   OL11",OL11,01706 645 200,http://www.newshamwariproject.co.uk/,newshamwariproject@gmail.com,,
Michelle Lam,28/07/17,,NHS Lambeth Health Inclusion Team,Healthcare/ Mental Health / Disability,,"Clinics are run at day centres, drug and alcohol services or hostels based across Lambeth, Southwark and Lewisham. They are all drop-in services, so you don't need an appointment. Service: a full health assessment, screening for blood borne viruses, sexual health screening, routine blood tests, treatment for minor illnesses, wounds or injuries, advice on how to manage long-term diseases, advice and intervention for people who suffer from long-term pain related to traumatic experiences, health promotion for young people in homeless hostels, referral to other services where necessary",London,South London - Lambeth,"All on the link attached below:
http://www.guysandstthomas.nhs.uk/our-services/community-health-inclusion-team/patients.aspx#na",,020 7188 7188 also 020 3049 4700,http://www.guysandstthomas.nhs.uk/our-services/community-health-inclusion-team/overview.aspx,gst-tr.referralsBBVHT@nhs.net,,
Misha MccGwire,27/07/2017,,NHS Richmond Road Medical Centre,Healthcare/ Mental Health / Disability,,"Richmond Road Medical Centre is a forward thinking innovative practice based in Hackney, they strive to offer an accessible, efficient and high-quality service for all patients. All registered patients get seen within 48 hours of making contact with the surgery.  ",London,East London,"36 Richmond Road, London  ",E8 3HN,020 7254-2298,http://www.richmondroadmedicalcentre.nhs.uk/,,"Monday: 08.00-18.30, Tuesday: 08.00-20.00, Wednesday: 08.00-19.30, Thursday: 08.00-18.30, Friday: 08.00-18.30, Saturday: Closed, Sunday: Closed",
Misha MccGwire,25/07/2017,,NNLS Asylum Seeker Drop In,Destitution & Debt,Food; Health; Support,"The New North London Synagogue is based around a Masorti community in North West London. They run a drop in on the first Sunday of every month where volunteers help with legal signposting, appointments with doctors and therapists, nutritious cooked food, nearly-new or new clothing and footwear as well as a friendly warm and welcoming space. Every client also receives a supermarket voucher and travel expenses. Registered Charity No: 1094668",London,North London,"Martin Primary School, Plane Tree Walk, East Finchley, London ",N2 9JP,0208 346 8560,http://nnls-masorti.org.uk/page.php?ID=83,office@nnls-masorti.org.uk,,
,,,NOMAD,,,,,Lincoln,"The Nomad Trust
15a Monks Road
Lincoln
United Kingdom

",LN2 5HL,,https://nomadtrust.org.uk/,,,
Michelle Lam,31/07/17,,North London Action for the Homeless,Food,"Non-food items; Social (clubs, groups) ","We are a small charity that runs a drop-in centre based in Stoke Newington, Hackney (N16) for homeless people and for those in needy circumstances.Our kitchen opens twice a week (Monday lunch: 12.00pm – 1.30pm, and Wednesday: supper: 7.00pm -8.30pm) and provides a three-course vegetarian meal consisting of soup, bread and butter, main course, dessert and tea or coffee for all our clients free of charge. It also has a garden that is run collectively with vulnerable people, and non food items are available on request. ",,,"St Paul’s Church Hall 7UE, 
Stoke Newington Rd N16 7UE",N16 7UE,7745227135,http://www.nlah.org.uk/,,"Monday: 12.00-13.30, Tuesday: Closed, Wednesday: 19.00-20.30, Thursday: Closed, Friday: Closed, Saturday: Closed, Sunday: Closed",
,,,North West Oromo Community,,,Saw an England Oromo Community on FB - haven't found NW yet ,,"Manchester, Bolton, Oldham, Wigan & Salford",N/A,,N/A,N/A,N/A,,
,,,North West Tamil Association,,,"TA is a non-political, non-profitable cultural organisation for Tamil people living in the northern part of England and Wales and whole of Scotland.",,Bolton,N/A,,N/A,http://www.northerntamilassociation.org.uk/,enquiries@northerntamilassociation.org.uk,,
,,,Norwich International Youth Project,Children & Young People,"Advice & Support; Social (clubs, groups); Advocacy","welcoming as variety of young people from many different backgrounds including Eritrea, Afghanistan, Kurdistan, Iran, Iraq and The Democratic Republic of Congo. Most of our young people are Unaccompanied Asylum Seeking Children, although we also welcome refugee children and other young non-EU nationals.",East of England,Norwich,"Norwich International Youth Project
C/o City College, Advice Hub
Ipswich Road
Norwich
NR2 2LJ",NR2 2LJ,07964 719 796,http://www.niyp.org.uk/,m.clemo@niyp.org.uk,,
Michelle Lam,28/07/17,,Notre Dame Refugee Centre,Advice & Support,,"We help asylum seekers throughout the asylum process:
​- Before they have lodged an asylum claim with the Home OfficeAfter they have lodged a claim, while they are awaiting a decision. 
- After their claim has been decided, and whether or not they have been recognized by the Home Office as refugees. 
- If recognized as Refugees, assisting with Family Reunion applications
​
We also help other non-EU migrants to the UK, who have not claimed asylum, but are seeking or have sought leave to remain under human rights legislation, usually through having established a private or family life under the European Convention on Human Rights.

Non-EU family members of EU citizen’s resident in the UK, can also receive assistance from us to regularise their stay or bring other family members to the UK. Drop ins on Mondays and Thursday",London,West London,"Name: Rachel White Address: 5 Leicester Place, London WC2H 7BX",WC2N 7BX,020 7440 2668,http://www.notredamerc.org.uk/,info@notredamerc.org.uk,Monday-Thursday: 11.00-17.00,
,30/05/17,,Nottingham And Nottinghamshire Refugee Forum,Advice & Support,Children & Young People; Women; Education,"An independent voluntary organisation and registered charity set up in 2000 to work with and for refugees and asylum seekers in Nottingham and Nottinghamshire offering practical advice, information, support and friendship and also campaigning on issues affecting them. Get their early for drop in slots.",East Midlands,Nottingham,"NNRF, The Sycamore Centre, 33a Hungerhill Road, Nottingham",NG3 4NB,01159601230,http://www.nottsrefugeeforum.org.uk,http://www.nottsrefugeeforum.org.uk/contact/,Monday-Thursday: 09.00-14.00,Yes
Call to see if still operational - https://vietnameseinnottingham.wordpress.com/,01/06/2017,Appears to no longer exist,Nottinghamshire Vietnamese Community Project,,,Appears to no longer exist,,Nottinghamshire,N/A,,N/A,N/A,N/A,,
Abi Evans (Michelle Lam),29/07/17,,Oasis Resource Centre,Advice & Support,"Children & Young People; Housing; Education; Healthcare/ Mental Health / Disability; Social (clubs, groups); Faith ","Oasis Resource Centre aims to relieve poverty, hardship and distress among disadvantaged and socially excluded groups by providing information, advice, sign posting and referral representation, and to advance the education of said beneficiaries by any lawful charitable means. To provide and assist in the provision of facilities for education, recreation, leisure time occupation in the interest of social welfare",London,,"Oasis Charitable Trust
The Oasis Centre 
London 
SE1 7QP ",SE1 7QP,020 7921 4200,https://www.oasisuk.org/ourwork,info@oasisgroup.com,,
,,,Open Door (Oxford),Advice & Support,"Food; Social (clubs, groups)","Open Door is a drop-in service for refugees and asylum seekers at the East Oxford Community Centre. We are a small charity run by volunteers offering advice, information, support, recreational activities and a free lunch",South East,Oxford,"Mark Greenaway, East Oxford Community Centre, 44B Princes Street, Oxford OX4 1DD",OX4 1DD,01865 792168,http://opendooroxford.org.uk/,oxopendoor@yahoo.co.uk,Thursday: 11.00-16.00,
Feryal Awan (Michelle Lam),24/07/17,,Our Mala - Yoga and Language Initiative,Women,"Advice & Support; Education; Social (clubs, groups); Family; Children & Young People","Our Mala provides yoga and English classes to refugee and asylum-seeking women. On Mondays it runs a class at the 'Happy Baby Foundation' which entails yoga, lunch and English classes for refugee and asylum seeking mums (and babies under the age of 3). The weekly service also includes child care, hand massage and welfare advice. A GP visits the group once a month. for drop-in services. On Tuesdays mornings, it runs 'yoga and social time' for women refugees and asylum seekers at the Hackney City Farm and in the afternoon at Euston for both men and women. On Fridays it runs a 'yoga and social time' session for women at the South Kensington Evolve Centre. It also runs a 'Yoga and Social time' session for young people (15-22) seeking asylum and with refugee status at Lambeth. Travel expenses paid for service user.",London,"Roaming - Euston, Hackney; Islington; Lewisham; Lambeth; Kensington; Hammersmith","Hackney City Farm, 1a Goldsmiths Row",E2 8QA,,http://www.ourmala.com/,hello@ourmala.com  /Lenny Smith: lenny@ourmala.com,,
Amelia Cooper,12/09/17,Moving to Brixton in 2019,Ovalhouse Theatre,Children & Young People,"Social (clubs, groups)","Ovalhouse is a theatre and arts centre in Kennington. It offers a range of participatory projects, including We Are London (WAL). This project is a drama and arts group for young refugees and migrants, aged 14-22. You don’t need secure status to attend, nor do you need good spoken English or previous experience. To apply, use the email address or phone number listed here. 

2017: Usually, the project meets weekly, but it is currently being restructured. Upcoming WAL sessions will be held on Saturdays 21 October, 4 November, 9 December 10am-4pm. 

Charity number: 288931. ",London,South London,"52-54 Kennington, Oval, London",SE11 5SW.,020 7820 7269,http://www.ovalhouse.com/,creative.youth@ovalhouse.com,,
Misha MccGwire (Michelle Lam),27/07/17,,Paiwand Afghan Association,Advice & Support,"Children & Young People; Education; Healthcare/ Mental Health / Disability; Legal; Housing; Advocacy; Employment/ Training/ Volunteering; Translation; Social (clubs, groups)","Paiwand is an Afghan Community Organisation that provides advice and support for health, social services, education, counselling, career advice, translation services, welfare support and advocacy. The services are for all ages and use both Pashto and Farsi languages. They also provide supported accommodation for unaccompanied minors and refugee youths (aged 16-18), with support from our team of qualified Key Workers who encourage the young people to gain the necessary skills to transition into independent living. Advocacy service offers free and professional advice on benefits, housing, debt and immigration.  Referral needed for accommodation and training courses. Charity Number: 1139972",London,West London - Harrow,"3rd Floor Middlesex House
130 College Road
Harrow
Middlesex
",HA1 1BQ,020 8905 8770,http://www.paiwand.com,info@paiwand.com,Monday-Friday: 10.00-17.00,
Misha MccGwire (Michelle Lam),27/07/17,,Paiwand Afghan Association - Barnet,Advice & Support,"Children & Young People; Education; Healthcare/ Mental Health / Disability; Legal; Housing; Advocacy; Employment/ Training/ Volunteering; Translation; Social (clubs, groups)","Paiwand is an Afghan Community Organisation that provides advice and support for health, social services, education, counselling, career advice, translation services, welfare support and advocacy. The services are for all ages and use both Pashto and Farsi languages. They also provide supported accommodation for unaccompanied minors and refugee youths (aged 16-18), with support from our team of qualified Key Workers who encourage the young people to gain the necessary skills to transition into independent living. Advocacy service offers free and professional advice on benefits, housing, debt and immigration.  Referral needed for accommodation and training courses. Charity Number: 1139972",London,North London - Barnet,"Whitefields School, Claremount Road, Barnet",NW2 1TR,020 8905 8770,http://www.paiwand.com,info@paiwand.com,Monday: 09.00-13.00,
Misha MccGwire (Michelle Lam),27/07/17,,Paiwand Afghan Association - Ealing,Advice & Support,"Children & Young People; Education; Healthcare/ Mental Health / Disability; Legal; Housing; Advocacy; Employment/ Training/ Volunteering; Translation; Social (clubs, groups)","Paiwand is an Afghan Community Organisation that provides advice and support for health, social services, education, counselling, career advice, translation services, welfare support and advocacy. The services are for all ages and use both Pashto and Farsi languages. They also provide supported accommodation for unaccompanied minors and refugee youths (aged 16-18), with support from our team of qualified Key Workers who encourage the young people to gain the necessary skills to transition into independent living. Advocacy service offers free and professional advice on benefits, housing, debt and immigration. Referral needed for accommodation and training courses. Charity Number: 1139972",London,West London - Ealing,"Greenfields Children Centre, Recreation Road, Southall, Ealing",UB2 5PF,020 8905 8770,http://www.paiwand.com,info@paiwand.com,Wednesday: 09.00-16.00,
,,,Pakistani Refugee Organisation (PRO),,,Listed on Manchester Refugee Support Network website (http://mrsn.myzen.co.uk/page.php?data=132) but with a broken link,,Manchester,?,,?,N/A,?,,
Amelia Cooper checking with Jack about this organisation,26/07/2017,,Paul Hamlyn Foundation,Children & Young People,,"The Paul Hamlyn Foundation is one of the largest independent grant-making foundations in the UK. Its mission is to help people overcome disadvantage and lack of opportunity, so that they can realise their potential and enjoy fulfilling and creative lives. They have a particular interest in supporting young people and a strong belief in the importance of the arts.                                                                                                                                          
                                                                                                                                                                                                                                                                                                                                                               Their work is organised around six main strategic priorities: supporting imaginative people to nurture exciting ideas; widening access and deepening participation in the arts; improving people's education and learning through the arts; showing that the arts make a difference to people's lives; supporting the development and growth of organisations investing in young people and positive change; and improving support for young people who migrate, and strengthening integration so that communities can live well together.",National,National,"Paul Hamlyn Foundation
5–11 Leeke Street
London
WC1X 9HY",WC1X 9HY,020 7812 3300,http://www.phf.org.uk/,information@phf.org.uk,N/A,
,July 2016,,Paul Ward Solicitors,Legal,,,South East,Brighton ,"James & Co, Premier House, 11 Marlborough Place",BN1 1UB,01273 602783,N/A,N/A,N/A,No
Abi Evans (Michelle Lam),25/07/17,,People of the Earth - St. Ethelberga's,"Social (clubs, groups)",Befriending,"People of the Earth project is an exciting new project at St Ethelburga’s bringing Londoners and refugees together by building empathy and forstering friendships. St Ethelburga's is a Christian organisation working with those of all faiths and no faith to inspire and equip peacebuilders for communities. Provides training in conflict transformation, dialogue facilitation and tools for collaboration and MA in Reconciliation. Organises 10 people a year to volunteer in refugee camps in Greece. Venue has been used by varying refugee arts projects.",London,East London - City of London,"78 Bishopsgate, London",EC2N 4AG,(0)2074961610,https://stethelburgas.org/,jowinsloe@stethelburgas.org,Tuesday: 13.15-13.45,
Abi Evans (Michelle Lam),29/07/17,,Plymouth Kurdish Community,"Social (clubs, groups)",,"ADVICE AND INFORMATION FOR KURDISH COMMUNITY IN DEVON AND CORNWALL INCLUDING RECREATION ACTIVITIES; TRAINING; INTERPRETING; HISTORY, CULTURE AND FOLKLORE, INTEGRATION PROJECT,  KURDISH MOTHER-TONGUE CLASSES, CULTURAL EVENTS, ADVOCACY, KURDISH MUSIC AND DANCE GROUP, WOMEN GROUP AS WELL AS YOUTH GROUP.",South West,Plymouth,"9, HQ building, 237 Union St, Plymouth PL1 3HQ",PL1 3HQ,01752 710244,http://www.pkc.org.uk/,"plymouthkurdishcommunity@msn.com/ info@pkc.org.uk
",Monday-Friday: 09.00-17.00,
,Birmingham Team Doing This,,PNE Enterprise Business Support,Employment/ Training/ Volunteering,,"Advises/helps people start up businesses. Offers: Online business advice and support from a dedicated business mentor via a 'live chat' facility, links to business mentors, funders and legal professionals, bespoke business planning, project fundraising and business grant advice
",North East,NE of England,"7-15 Pink Lane
Newcastle Upon Tyne
NE1 5DW",NE1 5DW,0191 230 6410,http://www.pne.org/,info@pne-enterprise.org,,
Misha MccGwire,27/07/2017,,Poppy Project and Eaves for Women,Women,Housing; Education; Advice & Support; Healthcare/ Mental Health / Disability,"Poppy can provide women with accommodation in a shared safe house, financial support, and support accessing health services and treatment, specialist counselling, education, criminal and immigration-related legal advice, parenting support and other support as needed. Charity number 275048",London,South London,"CC01, Kennington Business Park, 1-3 Brixton Rd, London ",SW9 6DE,020 7735 2062,http://www.eavesforwomen.org.uk/,post@eavesforwomen.org.uk,,
Abi Evans (Michelle Lam),25/07/17,,Praxis Community Projects,Advice & Support,"Education; Translation; Employment/ Training/ Volunteering; Children & Young People; Social (clubs, groups); Women; Family","Praxis Community Projects is committed to working with vulnerable migrants. We are deeply concerned for the safety and well being of refugees, asylum seekers, refused asylum seekers, people with limited or no recourse to public funds as a result of their immigration status, young unaccompanied asylum seekers, victims of human trafficking, foreign national offenders and others who find it difficult to settle in the UK. Founded in 1983 through a legacy of the late Robert Kemble, Praxis has worked with people from some of the world's most dangerous and troubled locations including Latin America, Francophone Africa, the Horn of Africa and the Middle East. Praxis operates a walk in advice service and operates projects which seek to address the fundamental human rights of new migrants. Drop in advice session every Thursday from 10:00 for Tower Hamlets residents (need to arrive earlier as first come first served). For those outside Tower Hamlets, drop in session every 3rd Friday of the month, first 20 people seen.",London,East London - Bethnal Green,"Pott Street, London ",E2 0EF,020 7729 7985,www.praxis.org.uk,admin@praxis.org.uk,Monday-Friday: 09.00-17.00,
,To Call HDS,,Pride Without Borders,LGBTQI,,Bristol LGBT group for asylum seekers and refugees,South West,Bristol,,,447856672351,https://lgbt.cityofsanctuary.org/,,,
Lucy Yates (Michelle Lam),24/07/17,,Public Law Project,Legal,,"Public Law Project is an independent, national legal charity. They have produced advice sheets and guides on common public law issues, which are available in the resource library section of our website here. PLP does not respond directly to members of the public on their case-specific queries, but may be able to take on individual cases that are referred to us by other lawyers, advisors, MPs or voluntary groups. ",,London,"150 Caledonian Road
London
",N1 9RD,020 7843 1260,http://www.publiclawproject.org.uk/,http://www.publiclawproject.org.uk/contact-us,,
Michelle Lam,31/07/17,,Rainbows Across Borders,LGBTQI,"Advice & Support; Social (clubs, groups)","Rainbows Across Borders is a voluntary self-help group for lesbian, gay, bisexual & transgender (LGBT) asylum seekers who are fleeing persecution of oppressive homophobic/transphobic regimes. The group pursues policies of integration with LGBT Groups in Croydon and elsewhere. It provides a secure and safe space for members to share experiences as LGBT asylum seekers and to mutually build confidence and knowledge about the asylum process as it affects the individual applicant. It’s supported by those who have already been granted leave to stay in the United Kingdom. Monthly meeting - see website for specific dates",,Croydon,"CVA Resource Centre, 82 London Road, Croydon CR0 2TB",CR0 2TB,,http://www.rainbowsacrossborders.org.uk/,info@rainbowsacrossborders.org.uk,,
Amelia Cooper has emailed to check if still operational ,24/07/17,,Red Sea Community Programme,Advice & Support,"Children & Young People; Social (clubs, groups); Education","Red Sea Community Programme offers a variety of services, including: basic ESOL classes for women, after school activities for refugee children, personal care for older people and children, as well as advice and signposting on welfare benefits, health, housing, utilities and education. Disability care.",London,London,"Unity Centre, 103 Church Road, Harlesden, London",NW10 9EG,02084519510,N/A,hhhersi@yahoo.co.uk,,
